run_id,generation_id,variation_id,format_id,attempt_id,structure,task,text_prompt,image_prompt,response,predicted,ground_truth,match,similarity,node_font,node_color,node_shape,edge_width,arrow_style,num_nodes,resolution,task_id,image_id
1,1,1,1,1,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_1-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_ab31bfdb-065c-4d4a-ba42-c40890cbb89b.png," [3, 2, 1]","[3, 2, 1]","[1, 2, 3]",False,33.33333333333333,sans-serif,#fee4b3,o,1.0,->,3,512,d00317b1-037e-4660-a422-a4cfdf78b207,ab31bfdb-065c-4d4a-ba42-c40890cbb89b
2,1,1,1,2,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_1-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_ab31bfdb-065c-4d4a-ba42-c40890cbb89b.png," [3, 2, 1]","[3, 2, 1]","[1, 2, 3]",False,33.33333333333333,sans-serif,#fee4b3,o,1.0,->,3,512,d00317b1-037e-4660-a422-a4cfdf78b207,ab31bfdb-065c-4d4a-ba42-c40890cbb89b
3,1,1,1,3,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_1-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_ab31bfdb-065c-4d4a-ba42-c40890cbb89b.png," [3, 2, 1]","[3, 2, 1]","[1, 2, 3]",False,33.33333333333333,sans-serif,#fee4b3,o,1.0,->,3,512,d00317b1-037e-4660-a422-a4cfdf78b207,ab31bfdb-065c-4d4a-ba42-c40890cbb89b
4,1,1,1,2,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_1-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_ab31bfdb-065c-4d4a-ba42-c40890cbb89b.png," [3, 2, 1]","[3, 2, 1]","[1, 2, 3]",False,33.33333333333333,sans-serif,#fee4b3,o,1.0,->,3,512,033f3fa0-da21-4883-b740-589a5d65e257,ab31bfdb-065c-4d4a-ba42-c40890cbb89b
5,1,1,1,1,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_1-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_ab31bfdb-065c-4d4a-ba42-c40890cbb89b.png," [3, 2, 1]","[3, 2, 1]","[1, 2, 3]",False,33.33333333333333,sans-serif,#fee4b3,o,1.0,->,3,512,033f3fa0-da21-4883-b740-589a5d65e257,ab31bfdb-065c-4d4a-ba42-c40890cbb89b
6,1,1,1,1,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg-gen_1-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_ab31bfdb-065c-4d4a-ba42-c40890cbb89b.png," ```pythongraph = {1: [2], 2: [3], 3: []}```","{1: [2], 2: [3], 3: []}","{1: [2], 2: [3, 1], 3: []}",False,83.33333333333334,sans-serif,#fee4b3,o,1.0,->,3,512,9bff1849-7f6e-4833-81eb-e942497cddc1,ab31bfdb-065c-4d4a-ba42-c40890cbb89b
7,1,1,1,3,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_1-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_ab31bfdb-065c-4d4a-ba42-c40890cbb89b.png," [3, 2, 1]","[3, 2, 1]","[1, 2, 3]",False,33.33333333333333,sans-serif,#fee4b3,o,1.0,->,3,512,033f3fa0-da21-4883-b740-589a5d65e257,ab31bfdb-065c-4d4a-ba42-c40890cbb89b
8,1,1,1,2,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg-gen_1-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_ab31bfdb-065c-4d4a-ba42-c40890cbb89b.png," ```python{1: [2], 2: [3]}```","{1: [2], 2: [3]}","{1: [2], 2: [3, 1], 3: []}",False,83.33333333333334,sans-serif,#fee4b3,o,1.0,->,3,512,9bff1849-7f6e-4833-81eb-e942497cddc1,ab31bfdb-065c-4d4a-ba42-c40890cbb89b
9,1,1,1,3,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg-gen_1-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_ab31bfdb-065c-4d4a-ba42-c40890cbb89b.png," ```python{1: [2], 2: [3]}```","{1: [2], 2: [3]}","{1: [2], 2: [3, 1], 3: []}",False,83.33333333333334,sans-serif,#fee4b3,o,1.0,->,3,512,9bff1849-7f6e-4833-81eb-e942497cddc1,ab31bfdb-065c-4d4a-ba42-c40890cbb89b
10,1,1,1,1,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_1-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_bcb98f19-13aa-4c0b-9acd-023bbf493869.png," [3, 2, 1]","[3, 2, 1]","[1, 2, 3]",False,33.33333333333333,sans-serif,#fee4b3,o,1.0,-|>,3,512,c422a774-fb35-4da5-bb7f-2d4c13b5dc4a,bcb98f19-13aa-4c0b-9acd-023bbf493869
11,1,1,1,2,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_1-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_bcb98f19-13aa-4c0b-9acd-023bbf493869.png," [3, 2, 1]","[3, 2, 1]","[1, 2, 3]",False,33.33333333333333,sans-serif,#fee4b3,o,1.0,-|>,3,512,c422a774-fb35-4da5-bb7f-2d4c13b5dc4a,bcb98f19-13aa-4c0b-9acd-023bbf493869
12,1,1,1,3,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_1-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_bcb98f19-13aa-4c0b-9acd-023bbf493869.png," [3, 2, 1]","[3, 2, 1]","[1, 2, 3]",False,33.33333333333333,sans-serif,#fee4b3,o,1.0,-|>,3,512,c422a774-fb35-4da5-bb7f-2d4c13b5dc4a,bcb98f19-13aa-4c0b-9acd-023bbf493869
13,1,1,1,1,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_1-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_bcb98f19-13aa-4c0b-9acd-023bbf493869.png," [3, 2, 1]","[3, 2, 1]","[1, 2, 3]",False,33.33333333333333,sans-serif,#fee4b3,o,1.0,-|>,3,512,3caf5f03-93f9-4971-8de4-293be4c5c3dc,bcb98f19-13aa-4c0b-9acd-023bbf493869
14,1,1,1,3,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_1-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_bcb98f19-13aa-4c0b-9acd-023bbf493869.png," [3, 2, 1]","[3, 2, 1]","[1, 2, 3]",False,33.33333333333333,sans-serif,#fee4b3,o,1.0,-|>,3,512,3caf5f03-93f9-4971-8de4-293be4c5c3dc,bcb98f19-13aa-4c0b-9acd-023bbf493869
15,1,1,1,2,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_1-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_bcb98f19-13aa-4c0b-9acd-023bbf493869.png," [3, 2, 1]","[3, 2, 1]","[1, 2, 3]",False,33.33333333333333,sans-serif,#fee4b3,o,1.0,-|>,3,512,3caf5f03-93f9-4971-8de4-293be4c5c3dc,bcb98f19-13aa-4c0b-9acd-023bbf493869
16,1,1,1,2,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg-gen_1-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_bcb98f19-13aa-4c0b-9acd-023bbf493869.png," ```pythongraph = {1: [2], 2: [3], 3: []}```","{1: [2], 2: [3], 3: []}","{1: [2], 2: [3, 1], 3: []}",False,83.33333333333334,sans-serif,#fee4b3,o,1.0,-|>,3,512,5b02f435-8e37-441b-898e-e88fc7b19e37,bcb98f19-13aa-4c0b-9acd-023bbf493869
17,1,1,1,1,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg-gen_1-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_bcb98f19-13aa-4c0b-9acd-023bbf493869.png," ```pythongraph = {1: [2], 2: [3], 3: []}```","{1: [2], 2: [3], 3: []}","{1: [2], 2: [3, 1], 3: []}",False,83.33333333333334,sans-serif,#fee4b3,o,1.0,-|>,3,512,5b02f435-8e37-441b-898e-e88fc7b19e37,bcb98f19-13aa-4c0b-9acd-023bbf493869
18,1,1,1,3,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg-gen_1-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_bcb98f19-13aa-4c0b-9acd-023bbf493869.png," ```pythongraph = {1: [2], 2: [3], 3: []}```","{1: [2], 2: [3], 3: []}","{1: [2], 2: [3, 1], 3: []}",False,83.33333333333334,sans-serif,#fee4b3,o,1.0,-|>,3,512,5b02f435-8e37-441b-898e-e88fc7b19e37,bcb98f19-13aa-4c0b-9acd-023bbf493869
19,2,1,1,1,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_b3b9d349-3e1a-4dc4-8420-cf56844f8317.png," [3, 4, 2, 1]","[3, 4, 2, 1]","[1, 2, 4, 3]",False,0.0,sans-serif,#fee4b3,o,1.0,->,4,512,ec2596a3-6c0d-4aba-a766-c4028e150193,b3b9d349-3e1a-4dc4-8420-cf56844f8317
20,2,1,1,2,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_b3b9d349-3e1a-4dc4-8420-cf56844f8317.png," [3, 4, 2, 1]","[3, 4, 2, 1]","[1, 2, 4, 3]",False,0.0,sans-serif,#fee4b3,o,1.0,->,4,512,ec2596a3-6c0d-4aba-a766-c4028e150193,b3b9d349-3e1a-4dc4-8420-cf56844f8317
21,2,1,1,1,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_b3b9d349-3e1a-4dc4-8420-cf56844f8317.png," [3, 4, 1, 2]","[3, 4, 1, 2]","[1, 2, 3, 4]",False,0.0,sans-serif,#fee4b3,o,1.0,->,4,512,f2e514ae-27db-4a6d-9e8f-52f9086d11b4,b3b9d349-3e1a-4dc4-8420-cf56844f8317
22,2,1,1,3,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_b3b9d349-3e1a-4dc4-8420-cf56844f8317.png," [3, 4, 2, 1]","[3, 4, 2, 1]","[1, 2, 4, 3]",False,0.0,sans-serif,#fee4b3,o,1.0,->,4,512,ec2596a3-6c0d-4aba-a766-c4028e150193,b3b9d349-3e1a-4dc4-8420-cf56844f8317
23,2,1,1,2,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_b3b9d349-3e1a-4dc4-8420-cf56844f8317.png," [3, 4, 1, 2]","[3, 4, 1, 2]","[1, 2, 3, 4]",False,0.0,sans-serif,#fee4b3,o,1.0,->,4,512,f2e514ae-27db-4a6d-9e8f-52f9086d11b4,b3b9d349-3e1a-4dc4-8420-cf56844f8317
24,2,1,1,3,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_b3b9d349-3e1a-4dc4-8420-cf56844f8317.png," [3, 4, 1, 2]","[3, 4, 1, 2]","[1, 2, 3, 4]",False,0.0,sans-serif,#fee4b3,o,1.0,->,4,512,f2e514ae-27db-4a6d-9e8f-52f9086d11b4,b3b9d349-3e1a-4dc4-8420-cf56844f8317
25,2,1,1,1,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_b3b9d349-3e1a-4dc4-8420-cf56844f8317.png," ```pythongraph = {1: [2], 2: [3], 3: [4], 4: [1, 2]}```","{1: [2], 2: [3], 3: [4], 4: [1, 2]}","{1: [2, 4], 2: [3], 3: [4, 2], 4: [2]}",False,62.5,sans-serif,#fee4b3,o,1.0,->,4,512,60937ec9-ba47-4fbe-9d8b-5c1daf64b246,b3b9d349-3e1a-4dc4-8420-cf56844f8317
26,2,1,1,2,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_b3b9d349-3e1a-4dc4-8420-cf56844f8317.png," ```pythongraph = {1: [2], 2: [3], 3: [4], 4: [1, 2]}```","{1: [2], 2: [3], 3: [4], 4: [1, 2]}","{1: [2, 4], 2: [3], 3: [4, 2], 4: [2]}",False,62.5,sans-serif,#fee4b3,o,1.0,->,4,512,60937ec9-ba47-4fbe-9d8b-5c1daf64b246,b3b9d349-3e1a-4dc4-8420-cf56844f8317
27,2,1,1,3,directed_graph,adjacency_list,'Provide a single-line python dictionary representing the adjacency list of the directed graph.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_0-res_512-idn_b3b9d349-3e1a-4dc4-8420-cf56844f8317.png," ```pythongraph = {1: [2], 2: [3], 3: [4], 4: [1, 2]}```","{1: [2], 2: [3], 3: [4], 4: [1, 2]}","{1: [2, 4], 2: [3], 3: [4, 2], 4: [2]}",False,62.5,sans-serif,#fee4b3,o,1.0,->,4,512,60937ec9-ba47-4fbe-9d8b-5c1daf64b246,b3b9d349-3e1a-4dc4-8420-cf56844f8317
28,2,1,1,1,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_fd81fdad-acb3-4b02-9f4d-b535435bc882.png," [2, 3, 4, 1]","[2, 3, 4, 1]","[1, 2, 4, 3]",False,25.0,sans-serif,#fee4b3,o,1.0,-|>,4,512,6280ac9f-1e2b-4fda-b7e5-b050c6425898,fd81fdad-acb3-4b02-9f4d-b535435bc882
29,2,1,1,2,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_fd81fdad-acb3-4b02-9f4d-b535435bc882.png," [2, 3, 4, 1]","[2, 3, 4, 1]","[1, 2, 4, 3]",False,25.0,sans-serif,#fee4b3,o,1.0,-|>,4,512,6280ac9f-1e2b-4fda-b7e5-b050c6425898,fd81fdad-acb3-4b02-9f4d-b535435bc882
30,2,1,1,3,directed_graph,breadth_first_search,'Provide a single-line python list representing the breadth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_fd81fdad-acb3-4b02-9f4d-b535435bc882.png," [3, 2, 4, 1]","[3, 2, 4, 1]","[1, 2, 4, 3]",False,50.0,sans-serif,#fee4b3,o,1.0,-|>,4,512,6280ac9f-1e2b-4fda-b7e5-b050c6425898,fd81fdad-acb3-4b02-9f4d-b535435bc882
31,2,1,1,1,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_fd81fdad-acb3-4b02-9f4d-b535435bc882.png," [3, 4, 1, 2]","[3, 4, 1, 2]","[1, 2, 3, 4]",False,0.0,sans-serif,#fee4b3,o,1.0,-|>,4,512,6e7b18a9-57ac-4c08-b2f0-bd8fdb2ca02e,fd81fdad-acb3-4b02-9f4d-b535435bc882
32,2,1,1,3,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_fd81fdad-acb3-4b02-9f4d-b535435bc882.png," [3, 4, 1, 2]","[3, 4, 1, 2]","[1, 2, 3, 4]",False,0.0,sans-serif,#fee4b3,o,1.0,-|>,4,512,6e7b18a9-57ac-4c08-b2f0-bd8fdb2ca02e,fd81fdad-acb3-4b02-9f4d-b535435bc882
33,2,1,1,2,directed_graph,depth_first_search,'Provide a single-line python list representing the depth-first search of the directed graph starting from the vertex with the smallest value.',images/directed_graph/dg-gen_2-var_1-fmt_1-wid_10-col_fee4b3-fnt_sansserif-shp_o-arw_1-res_512-idn_fd81fdad-acb3-4b02-9f4d-b535435bc882.png," [2, 1, 4, 3]","[2, 1, 4, 3]","[1, 2, 3, 4]",False,25.0,sans-serif,#fee4b3,o,1.0,-|>,4,512,6e7b18a9-57ac-4c08-b2f0-bd8fdb2ca02e,fd81fdad-acb3-4b02-9f4d-b535435bc882
